beam_y_cm,run,slice,frame,gantry_x_mm,gantry_z_mm,max_counts,exposure_us,rate_c_per_us,ratio_to_slice_best,n_sat_px,excluded_run
60.0,auto_scan-2026-07-30_11-19-30,y0060.00cm,jul30_axicon3_001_060-tableyp000600.000mm-gantryxp000075.000mm-yp000130.000mm-zm000083.100mm-shot0000.npy,75.0,-83.1,145,5043.3,0.0288,0.935,0,False
60.0,auto_scan-2026-07-30_11-19-30,y0060.00cm,jul30_axicon3_001_060-tableyp000600.000mm-gantryxp000075.000mm-yp000130.000mm-zm000087.100mm-shot0000.npy,75.0,-87.1,155,5043.3,0.0307,1.0,0,False
60.5,auto_scan-2026-07-30_11-19-30,y0060.50cm,jul30_axicon3_001_060-tableyp000605.000mm-gantryxp000075.000mm-yp000125.000mm-zm000083.100mm-shot0000.npy,75.0,-83.1,132,5043.3,0.0262,0.985,0,False
60.5,auto_scan-2026-07-30_11-19-30,y0060.50cm,jul30_axicon3_001_060-tableyp000605.000mm-gantryxp000075.000mm-yp000125.000mm-zm000087.100mm-shot0000.npy,75.0,-87.1,134,5043.3,0.0266,1.0,0,False
61.0,auto_scan-2026-07-30_11-19-30,y0061.00cm,jul30_axicon3_001_060-tableyp000610.000mm-gantryxp000075.000mm-yp000120.000mm-zm000083.100mm-shot0000.npy,75.0,-83.1,133,5043.3,0.0264,0.971,0,False
61.0,auto_scan-2026-07-30_11-19-30,y0061.00cm,jul30_axicon3_001_060-tableyp000610.000mm-gantryxp000075.000mm-yp000120.000mm-zm000087.100mm-shot0000.npy,75.0,-87.1,137,5043.3,0.0272,1.0,0,False
61.5,auto_scan-2026-07-30_11-19-30,y0061.50cm,jul30_axicon3_001_060-tableyp000615.000mm-gantryxp000075.000mm-yp000115.000mm-zm000083.100mm-shot0000.npy,75.0,-83.1,146,5043.3,0.0289,1.0,0,False
61.5,auto_scan-2026-07-30_11-19-30,y0061.50cm,jul30_axicon3_001_060-tableyp000615.000mm-gantryxp000075.000mm-yp000115.000mm-zm000087.100mm-shot0000.npy,75.0,-87.1,141,5043.3,0.028,0.966,0,False
62.0,auto_scan-2026-07-30_11-19-30,y0062.00cm,jul30_axicon3_001_060-tableyp000620.000mm-gantryxp000075.000mm-yp000110.000mm-zm000083.100mm-shot0000.npy,75.0,-83.1,160,5043.3,0.0317,1.0,0,False
62.0,auto_scan-2026-07-30_11-19-30,y0062.00cm,jul30_axicon3_001_060-tableyp000620.000mm-gantryxp000075.000mm-yp000110.000mm-zm000087.100mm-shot0000.npy,75.0,-87.1,155,5043.3,0.0307,0.969,0,False
62.5,auto_scan-2026-07-30_11-19-30,y0062.50cm,jul30_axicon3_001_060-tableyp000625.000mm-gantryxp000075.000mm-yp000105.000mm-zm000083.100mm-shot0000.npy,75.0,-83.1,151,5043.3,0.0299,0.962,0,False
62.5,auto_scan-2026-07-30_11-19-30,y0062.50cm,jul30_axicon3_001_060-tableyp000625.000mm-gantryxp000075.000mm-yp000105.000mm-zm000087.100mm-shot0000.npy,75.0,-87.1,157,5043.3,0.0311,1.0,0,False
63.0,auto_scan-2026-07-30_11-19-30,y0063.00cm,jul30_axicon3_001_060-tableyp000630.000mm-gantryxp000075.000mm-yp000100.000mm-zm000083.100mm-shot0000.npy,75.0,-83.1,173,5043.3,0.0343,1.0,0,False
63.0,auto_scan-2026-07-30_11-19-30,y0063.00cm,jul30_axicon3_001_060-tableyp000630.000mm-gantryxp000075.000mm-yp000100.000mm-zm000087.100mm-shot0000.npy,75.0,-87.1,165,5043.3,0.0327,0.954,0,False
63.5,auto_scan-2026-07-30_11-19-30,y0063.50cm,jul30_axicon3_001_060-tableyp000635.000mm-gantryxp000075.000mm-yp000095.000mm-zm000083.100mm-shot0000.npy,75.0,-83.1,170,5043.3,0.0337,1.0,0,False
63.5,auto_scan-2026-07-30_11-19-30,y0063.50cm,jul30_axicon3_001_060-tableyp000635.000mm-gantryxp000075.000mm-yp000095.000mm-zm000087.100mm-shot0000.npy,75.0,-87.1,164,5043.3,0.0325,0.965,0,False
64.0,auto_scan-2026-07-30_11-19-30,y0064.00cm,jul30_axicon3_001_060-tableyp000640.000mm-gantryxp000075.000mm-yp000090.000mm-zm000083.100mm-shot0000.npy,75.0,-83.1,143,5043.3,0.0284,0.96,0,False
64.0,auto_scan-2026-07-30_11-19-30,y0064.00cm,jul30_axicon3_001_060-tableyp000640.000mm-gantryxp000075.000mm-yp000090.000mm-zm000087.100mm-shot0000.npy,75.0,-87.1,149,5043.3,0.0295,1.0,0,False
64.5,auto_scan-2026-07-30_11-19-30,y0064.50cm,jul30_axicon3_001_060-tableyp000645.000mm-gantryxp000075.000mm-yp000085.000mm-zm000083.100mm-shot0000.npy,75.0,-83.1,160,5043.3,0.0317,0.958,0,False
64.5,auto_scan-2026-07-30_11-19-30,y0064.50cm,jul30_axicon3_001_060-tableyp000645.000mm-gantryxp000075.000mm-yp000085.000mm-zm000087.100mm-shot0000.npy,75.0,-87.1,167,5043.3,0.0331,1.0,0,False
65.0,auto_scan-2026-07-30_11-19-30,y0065.00cm,jul30_axicon3_001_060-tableyp000650.000mm-gantryxp000075.000mm-yp000080.000mm-zm000083.100mm-shot0000.npy,75.0,-83.1,171,5043.3,0.0339,1.0,0,False
65.0,auto_scan-2026-07-30_11-19-30,y0065.00cm,jul30_axicon3_001_060-tableyp000650.000mm-gantryxp000075.000mm-yp000080.000mm-zm000087.100mm-shot0000.npy,75.0,-87.1,163,5043.3,0.0323,0.953,0,False
65.5,auto_scan-2026-07-30_11-19-30,y0065.50cm,jul30_axicon3_001_060-tableyp000655.000mm-gantryxp000075.000mm-yp000075.000mm-zm000083.100mm-shot0000.npy,75.0,-83.1,158,5043.3,0.0313,0.958,0,False
65.5,auto_scan-2026-07-30_11-19-30,y0065.50cm,jul30_axicon3_001_060-tableyp000655.000mm-gantryxp000075.000mm-yp000075.000mm-zm000087.100mm-shot0000.npy,75.0,-87.1,165,5043.3,0.0327,1.0,0,False
66.0,auto_scan-2026-07-30_11-19-30,y0066.00cm,jul30_axicon3_001_060-tableyp000660.000mm-gantryxp000075.000mm-yp000070.000mm-zm000083.100mm-shot0000.npy,75.0,-83.1,173,5043.3,0.0343,1.0,0,False
66.0,auto_scan-2026-07-30_11-19-30,y0066.00cm,jul30_axicon3_001_060-tableyp000660.000mm-gantryxp000075.000mm-yp000070.000mm-zm000087.100mm-shot0000.npy,75.0,-87.1,165,5043.3,0.0327,0.954,0,False
66.5,auto_scan-2026-07-30_11-19-30,y0066.50cm,jul30_axicon3_001_060-tableyp000665.000mm-gantryxp000075.000mm-yp000065.000mm-zm000083.100mm-shot0000.npy,75.0,-83.1,146,4192.6,0.0348,0.948,0,False
66.5,auto_scan-2026-07-30_11-19-30,y0066.50cm,jul30_axicon3_001_060-tableyp000665.000mm-gantryxp000075.000mm-yp000065.000mm-zm000087.100mm-shot0000.npy,75.0,-87.1,154,4192.6,0.0367,1.0,0,False
67.0,auto_scan-2026-07-30_11-19-30,y0067.00cm,jul30_axicon3_001_060-tableyp000670.000mm-gantryxp000075.000mm-yp000060.000mm-zm000083.100mm-shot0000.npy,75.0,-83.1,152,4192.6,0.0363,1.0,0,False
67.0,auto_scan-2026-07-30_11-19-30,y0067.00cm,jul30_axicon3_001_060-tableyp000670.000mm-gantryxp000075.000mm-yp000060.000mm-zm000087.100mm-shot0000.npy,75.0,-87.1,152,4192.6,0.0363,1.0,0,False
67.5,auto_scan-2026-07-30_11-19-30,y0067.50cm,jul30_axicon3_001_060-tableyp000675.000mm-gantryxp000075.000mm-yp000055.000mm-zm000083.100mm-shot0000.npy,75.0,-83.1,144,4192.6,0.0343,1.0,0,False
67.5,auto_scan-2026-07-30_11-19-30,y0067.50cm,jul30_axicon3_001_060-tableyp000675.000mm-gantryxp000075.000mm-yp000055.000mm-zm000087.100mm-shot0000.npy,75.0,-87.1,140,4192.6,0.0334,0.972,0,False
68.0,auto_scan-2026-07-30_11-19-30,y0068.00cm,jul30_axicon3_001_060-tableyp000680.000mm-gantryxp000075.000mm-yp000050.000mm-zm000083.100mm-shot0000.npy,75.0,-83.1,149,4192.6,0.0355,1.0,0,False
68.0,auto_scan-2026-07-30_11-19-30,y0068.00cm,jul30_axicon3_001_060-tableyp000680.000mm-gantryxp000075.000mm-yp000050.000mm-zm000087.100mm-shot0000.npy,75.0,-87.1,146,4192.6,0.0348,0.98,0,False
68.5,auto_scan-2026-07-30_11-19-30,y0068.50cm,jul30_axicon3_001_060-tableyp000685.000mm-gantryxp000075.000mm-yp000045.000mm-zm000083.100mm-shot0000.npy,75.0,-83.1,149,4192.6,0.0355,0.987,0,False
68.5,auto_scan-2026-07-30_11-19-30,y0068.50cm,jul30_axicon3_001_060-tableyp000685.000mm-gantryxp000075.000mm-yp000045.000mm-zm000087.100mm-shot0000.npy,75.0,-87.1,151,4192.6,0.036,1.0,0,False
69.0,auto_scan-2026-07-30_11-19-30,y0069.00cm,jul30_axicon3_001_060-tableyp000690.000mm-gantryxp000075.000mm-yp000040.000mm-zm000083.100mm-shot0000.npy,75.0,-83.1,144,4192.6,0.0343,0.966,0,False
69.0,auto_scan-2026-07-30_11-19-30,y0069.00cm,jul30_axicon3_001_060-tableyp000690.000mm-gantryxp000075.000mm-yp000040.000mm-zm000087.100mm-shot0000.npy,75.0,-87.1,149,4192.6,0.0355,1.0,0,False
69.0,auto_scan-2026-07-30_11-33-11,y0069.00cm,jul30_axicon3_001_060-tableyp000690.000mm-gantryxp000075.000mm-yp000040.000mm-zm000083.100mm-shot0000.npy,75.0,-83.1,147,4322.9,0.034,0.98,0,False
69.0,auto_scan-2026-07-30_11-33-11,y0069.00cm,jul30_axicon3_001_060-tableyp000690.000mm-gantryxp000075.000mm-yp000040.000mm-zm000087.100mm-shot0000.npy,75.0,-87.1,150,4322.9,0.0347,1.0,0,False
69.5,auto_scan-2026-07-30_11-19-30,y0069.50cm,jul30_axicon3_001_060-tableyp000695.000mm-gantryxp000075.000mm-yp000035.000mm-zm000083.100mm-shot0000.npy,75.0,-83.1,138,4192.6,0.0329,0.945,0,False
69.5,auto_scan-2026-07-30_11-19-30,y0069.50cm,jul30_axicon3_001_060-tableyp000695.000mm-gantryxp000075.000mm-yp000035.000mm-zm000087.100mm-shot0000.npy,75.0,-87.1,146,4192.6,0.0348,1.0,0,False
