y_cm,exp_us,max_counts,ok,A,rate,kr_dev,kx_dev,ky_dev,kr,kr_err,kx,kx_err,ky,ky_err,kr_vs_ideal_pct,core_um,fwhm_um,rms_over_A,pinned,radial_ok
5.0,30.859576179935825,149,True,129.34835248875635,4.191514223479699,-0.021068604958718096,-0.017157302378875028,-0.016684743785338574,379.58574183619316,0.0023085769441940534,381.1023697621501,0.0005872325793300551,381.2856068155302,0.0005748606693073627,-2.1068604958718096,12.670813125735279,5.934680236151075,0.010891095805545415,False,True
5.5,30.859576179935825,154,True,122.11110460823,3.9569922767644417,-0.023707159013757195,-0.017413799917051054,-0.018065656122987495,378.56262877287713,0.003153390540722451,381.00291150715805,0.0005671880186944228,380.7501508716791,0.000663050486494605,-2.3707159013757195,12.705057590049673,5.9507194550668245,0.014908259205926016,False,True
6.0,30.859576179935825,141,True,138.57948672201286,4.490647762431488,-0.021852803200932747,-0.01863211620266625,-0.0176291911452795,379.28166488756784,0.0020707283400860396,380.5305030284752,0.0005311892080179777,380.91939243772555,0.000654547275305051,-2.1852803200932747,12.680971545054119,5.939438176289865,0.009789029743469232,False,True
6.5,30.859576179935825,112,True,134.14643745965031,4.346995457016976,-0.02266031622657194,-0.018302292059773073,-0.019050437208154358,378.96854751036216,0.002406516094227885,380.65839405596677,0.0008921530915256217,380.36829688206063,0.0008562220628003856,-2.266031622657194,12.691449017595554,5.944345552683112,0.011385983969705133,False,True
7.0,30.859576179935825,130,True,140.39398387133951,4.549446274074898,-0.02318034396898938,-0.019290594905600478,-0.020187420696576308,378.76690404752014,0.002188539374964479,380.2751744853283,0.000785034587310057,379.9274256186664,0.0006062252436056244,-2.318034396898938,12.698205541729642,5.947510133349384,0.010353088806250438,False,True
7.5,30.859576179935825,153,True,137.66250761896703,4.460933190277317,-0.024043210059688125,-0.020418625578199623,-0.020128757332214975,378.43232323133395,0.002275324271896385,379.8377747228511,0.0005687052903006517,379.9501726434247,0.0005812739320442345,-2.4043210059688125,12.709432320504707,5.952768465348354,0.010750950550461342,False,True
8.0,30.859576179935825,130,True,137.7743930546982,4.464558821267153,-0.023606639730107237,-0.020555603813619094,-0.020114673671936534,378.60160564811724,0.0021837924304208547,379.7846606993654,0.0005942976897066546,379.9556336559754,0.0008622430332641687,-2.3606639730107237,12.703749609742093,5.95010683101471,0.010325811299583888,False,True
8.5,30.859576179935825,137,True,119.18396738676066,3.8621388282140856,-0.02540823200714648,-0.0211726120685638,-0.020409874148588303,377.9030288689575,0.0031058128550221407,379.5454125381985,0.0006126278550406596,379.8411681352169,0.0006917362002391006,-2.540823200714648,12.727233265091952,5.9611059661052845,0.01463774368135836,False,True
9.0,30.859576179935825,103,True,116.50893019263968,3.775454643748188,-0.023759855503938332,-0.020800263030461785,-0.02060686789489896,378.54219543462807,0.002496165600766285,379.6897928150655,0.0008197586516695804,379.76478278512064,0.0011141363026518653,-2.375985550393833,12.705743396658137,5.951040669095055,0.01180014042419998,False,True
9.5,30.859576179935825,91,True,111.57840436443134,3.615681683826138,-0.023774877909824466,-0.020624991965061512,-0.020545150350570363,378.53637041858366,0.0026786035422482765,379.757755082615,0.000894078901094818,379.78871408405223,0.0012861781907816008,-2.3774877909824466,12.705938915939575,5.951132245255465,0.012662280726255436,False,True
10.0,54.66203844165765,143,True,165.40788193700152,3.026010127916215,-0.02473396904072689,-0.021465023355332846,-0.020976782715334097,378.1644778423968,0.0026320901591064096,379.4320285403292,0.0007291008061724009,379.6213463888192,0.0013228461311071665,-2.473396904072689,12.718434125387276,5.956984677283305,0.012419886026052906,False,True
10.5,54.66203844165765,135,True,164.0703579651975,3.001541154384765,-0.026062878706652248,-0.02207368132554377,-0.020609503615178326,377.649186205078,0.0029698755315996596,379.19601824551455,0.000787376468328214,379.76376077086854,0.0009753345424301102,-2.606287870665225,12.735788069163664,5.965112814453906,0.013987955994633464,False,True
11.0,54.66203844165765,137,True,138.47680316095915,2.5333267311053427,-0.024133717952084854,-0.022136352955972605,-0.021605886542577668,378.3972283251419,0.002654295267534976,379.17171699473346,0.0007421630149820166,379.3774081065597,0.0008814290390268486,-2.4133717952084854,12.710611072096036,5.95332056202147,0.012539489705406748,False,True
11.5,54.66203844165765,130,True,121.18435549100869,2.216974685646826,-0.026204588919672922,-0.022766931950349956,-0.02311245306448717,377.59423733265686,0.0032749907105293166,378.92720670874246,0.0011206437181955206,378.7932290989792,0.0009010024586555242,-2.620458891967292,12.737641426881035,5.965980879139783,0.015424321529548679,False,True
