y_cm,rate,run,frame,kept_y_cm,kept_run,kept_frame
86.0,0.0233880608444588,auto_scan-2026-08-06_08-38-37,aug6_axicon3_007-tableyp000860.000mm-gantryxp000070.000mm-yp000070.000mm-zm000064.100mm-shot0000.npy,86.0,auto_scan-2026-08-06_08-38-37,aug6_axicon3_007-tableyp000860.000mm-gantryxp000070.000mm-yp000070.000mm-zm000068.100mm-shot0000.npy
86.0,0.023198584137547232,auto_scan-2026-08-06_09-33-56,aug6_axicon3_007-tableyp000860.000mm-gantryxp000070.000mm-yp000070.000mm-zm000067.100mm-shot0000.npy,86.0,auto_scan-2026-08-06_08-38-37,aug6_axicon3_007-tableyp000860.000mm-gantryxp000070.000mm-yp000070.000mm-zm000068.100mm-shot0000.npy
92.0,0.027584030816987803,auto_scan-2026-08-06_09-50-11,aug6_axicon3_007-tableyp000920.000mm-gantryxp000070.000mm-yp000110.000mm-zm000063.100mm-shot0000.npy,92.0,auto_scan-2026-08-06_09-33-56,aug6_axicon3_007-tableyp000920.000mm-gantryxp000070.000mm-yp000010.000mm-zm000063.100mm-shot0000.npy
100.0,2.6970785742420026e-05,auto_scan-2026-08-06_10-16-44,aug6_axicon3_010-tableyp001000.000mm-gantryxp000075.000mm-yp000130.000mm-zm000071.100mm-shot0000.npy,100.0,auto_scan-2026-08-06_09-50-11,aug6_axicon3_007-tableyp001000.000mm-gantryxp000070.000mm-yp000030.000mm-zm000059.100mm-shot0000.npy
102.0,0.29095350405983617,auto_scan-2026-08-06_09-50-11,aug6_axicon3_007-tableyp001020.000mm-gantryxp000070.000mm-yp000010.000mm-zm000059.100mm-shot0000.npy,102.0,auto_scan-2026-08-06_10-16-44,aug6_axicon3_010-tableyp001020.000mm-gantryxp000070.000mm-yp000110.000mm-zm000059.100mm-shot0000.npy
106.0,0.6136973672480879,auto_scan-2026-08-06_10-16-44,aug6_axicon3_010-tableyp001060.000mm-gantryxp000075.000mm-yp000070.000mm-zm000059.100mm-shot0000.npy,106.0,auto_scan-2026-08-06_10-16-44,aug6_axicon3_010-tableyp001060.000mm-gantryxp000070.000mm-yp000070.000mm-zm000059.100mm-shot0000.npy
107.0,0.6743825677739259,auto_scan-2026-08-06_10-16-44,aug6_axicon3_010-tableyp001070.000mm-gantryxp000070.000mm-yp000060.000mm-zm000059.100mm-shot0000.npy,107.0,auto_scan-2026-08-06_10-16-44,aug6_axicon3_010-tableyp001070.000mm-gantryxp000075.000mm-yp000060.000mm-zm000059.100mm-shot0000.npy
108.0,0.7410131074395755,auto_scan-2026-08-06_10-16-44,aug6_axicon3_010-tableyp001080.000mm-gantryxp000075.000mm-yp000050.000mm-zm000055.100mm-shot0000.npy,108.0,auto_scan-2026-08-06_10-16-44,aug6_axicon3_010-tableyp001080.000mm-gantryxp000075.000mm-yp000050.000mm-zm000059.100mm-shot0000.npy
108.0,0.7346284437293068,auto_scan-2026-08-06_10-16-44,aug6_axicon3_010-tableyp001080.000mm-gantryxp000070.000mm-yp000050.000mm-zm000055.100mm-shot0000.npy,108.0,auto_scan-2026-08-06_10-16-44,aug6_axicon3_010-tableyp001080.000mm-gantryxp000075.000mm-yp000050.000mm-zm000059.100mm-shot0000.npy
113.0,0.9986919322311404,auto_scan-2026-08-06_10-52-08,aug6_axicon3_011-tableyp001130.000mm-gantryxp000075.000mm-yp000100.000mm-zm000057.100mm-shot0000.npy,113.0,auto_scan-2026-08-06_10-52-08,aug6_axicon3_011-tableyp001130.000mm-gantryxp000075.000mm-yp000100.000mm-zm000053.100mm-shot0000.npy
120.0,0.7318613766959818,auto_scan-2026-08-06_13-33-08,aug6_axicon3_012-tableyp001200.000mm-gantryxp000075.000mm-yp000130.000mm-zm000052.100mm-shot0000.npy,120.0,auto_scan-2026-08-06_10-52-08,aug6_axicon3_011-tableyp001200.000mm-gantryxp000075.000mm-yp000030.000mm-zm000053.100mm-shot0000.npy
121.0,0.7357555853647663,auto_scan-2026-08-06_13-33-08,aug6_axicon3_012-tableyp001210.000mm-gantryxp000075.000mm-yp000120.000mm-zm000052.100mm-shot0000.npy,121.0,auto_scan-2026-08-06_10-52-08,aug6_axicon3_011-tableyp001210.000mm-gantryxp000075.000mm-yp000020.000mm-zm000053.100mm-shot0000.npy
122.0,0.7591809450915779,auto_scan-2026-08-06_10-52-08,aug6_axicon3_011-tableyp001220.000mm-gantryxp000075.000mm-yp000010.000mm-zm000053.100mm-shot0000.npy,122.0,auto_scan-2026-08-06_13-33-08,aug6_axicon3_012-tableyp001220.000mm-gantryxp000075.000mm-yp000110.000mm-zm000052.100mm-shot0000.npy
125.0,1.075922502973406,auto_scan-2026-08-06_13-33-08,aug6_axicon3_012-tableyp001250.000mm-gantryxp000075.000mm-yp000080.000mm-zm000052.100mm-shot0000.npy,125.0,auto_scan-2026-08-06_13-33-08,aug6_axicon3_012-tableyp001250.000mm-gantryxp000075.000mm-yp000080.000mm-zm000048.100mm-shot0000.npy
130.0,1.792701337287253,auto_scan-2026-08-06_11-19-48,aug6_axicon3_013-tableyp001300.000mm-gantryxp000075.000mm-yp000130.000mm-zm000047.100mm-shot0000.npy,130.0,auto_scan-2026-08-06_13-33-08,aug6_axicon3_012-tableyp001300.000mm-gantryxp000075.000mm-yp000030.000mm-zm000048.100mm-shot0000.npy
131.0,1.8983499089540967,auto_scan-2026-08-06_11-19-48,aug6_axicon3_013-tableyp001310.000mm-gantryxp000075.000mm-yp000120.000mm-zm000047.100mm-shot0000.npy,131.0,auto_scan-2026-08-06_13-33-08,aug6_axicon3_012-tableyp001310.000mm-gantryxp000075.000mm-yp000020.000mm-zm000048.100mm-shot0000.npy
132.0,1.9851312432036203,auto_scan-2026-08-06_13-33-08,aug6_axicon3_012-tableyp001320.000mm-gantryxp000075.000mm-yp000010.000mm-zm000048.100mm-shot0000.npy,132.0,auto_scan-2026-08-06_13-33-08,aug6_axicon3_012-tableyp001320.000mm-gantryxp000080.000mm-yp000010.000mm-zm000048.100mm-shot0000.npy
132.0,1.9216157199419834,auto_scan-2026-08-06_11-19-48,aug6_axicon3_013-tableyp001320.000mm-gantryxp000075.000mm-yp000110.000mm-zm000047.100mm-shot0000.npy,132.0,auto_scan-2026-08-06_13-33-08,aug6_axicon3_012-tableyp001320.000mm-gantryxp000080.000mm-yp000010.000mm-zm000048.100mm-shot0000.npy
133.0,1.8868320413069322,auto_scan-2026-08-06_11-19-48,aug6_axicon3_013-tableyp001330.000mm-gantryxp000080.000mm-yp000100.000mm-zm000047.100mm-shot0000.npy,133.0,auto_scan-2026-08-06_11-19-48,aug6_axicon3_013-tableyp001330.000mm-gantryxp000075.000mm-yp000100.000mm-zm000047.100mm-shot0000.npy
134.0,1.9023903656656322,auto_scan-2026-08-06_11-19-48,aug6_axicon3_013-tableyp001340.000mm-gantryxp000075.000mm-yp000090.000mm-zm000047.100mm-shot0000.npy,134.0,auto_scan-2026-08-06_11-19-48,aug6_axicon3_013-tableyp001340.000mm-gantryxp000080.000mm-yp000090.000mm-zm000047.100mm-shot0000.npy
138.0,1.4622385832475748,auto_scan-2026-08-06_11-19-48,aug6_axicon3_013-tableyp001380.000mm-gantryxp000080.000mm-yp000050.000mm-zm000043.100mm-shot0000.npy,138.0,auto_scan-2026-08-06_11-19-48,aug6_axicon3_013-tableyp001380.000mm-gantryxp000080.000mm-yp000050.000mm-zm000047.100mm-shot0000.npy
142.0,0.951266004942485,auto_scan-2026-08-06_11-19-48,aug6_axicon3_013-tableyp001420.000mm-gantryxp000080.000mm-yp000010.000mm-zm000043.100mm-shot0000.npy,142.0,auto_scan-2026-08-06_11-28-06,aug6_axicon3_014-tableyp001420.000mm-gantryxp000080.000mm-yp000110.000mm-zm000043.100mm-shot0000.npy
148.0,0.3842722816307665,auto_scan-2026-08-06_11-28-06,aug6_axicon3_014-tableyp001480.000mm-gantryxp000080.000mm-yp000050.000mm-zm000043.100mm-shot0000.npy,148.0,auto_scan-2026-08-06_11-28-06,aug6_axicon3_014-tableyp001480.000mm-gantryxp000080.000mm-yp000050.000mm-zm000039.100mm-shot0000.npy
150.0,0.2767364862958436,auto_scan-2026-08-06_11-42-44,aug6_axicon3_015-tableyp001500.000mm-gantryxp000085.000mm-yp000130.000mm-zm000042.100mm-shot0000.npy,150.0,auto_scan-2026-08-06_11-28-06,aug6_axicon3_014-tableyp001500.000mm-gantryxp000080.000mm-yp000030.000mm-zm000039.100mm-shot0000.npy
150.0,0.27358214336060943,auto_scan-2026-08-06_11-42-44,aug6_axicon3_015-tableyp001500.000mm-gantryxp000080.000mm-yp000130.000mm-zm000038.100mm-shot0000.npy,150.0,auto_scan-2026-08-06_11-28-06,aug6_axicon3_014-tableyp001500.000mm-gantryxp000080.000mm-yp000030.000mm-zm000039.100mm-shot0000.npy
150.0,0.27150125792921426,auto_scan-2026-08-06_11-42-44,aug6_axicon3_015-tableyp001500.000mm-gantryxp000080.000mm-yp000130.000mm-zm000042.100mm-shot0000.npy,150.0,auto_scan-2026-08-06_11-28-06,aug6_axicon3_014-tableyp001500.000mm-gantryxp000080.000mm-yp000030.000mm-zm000039.100mm-shot0000.npy
150.0,0.2637598913551527,auto_scan-2026-08-06_11-42-44,aug6_axicon3_015-tableyp001500.000mm-gantryxp000085.000mm-yp000130.000mm-zm000038.100mm-shot0000.npy,150.0,auto_scan-2026-08-06_11-28-06,aug6_axicon3_014-tableyp001500.000mm-gantryxp000080.000mm-yp000030.000mm-zm000039.100mm-shot0000.npy
151.0,0.2333495405594272,auto_scan-2026-08-06_11-42-44,aug6_axicon3_015-tableyp001510.000mm-gantryxp000080.000mm-yp000120.000mm-zm000038.100mm-shot0000.npy,151.0,auto_scan-2026-08-06_11-28-06,aug6_axicon3_014-tableyp001510.000mm-gantryxp000080.000mm-yp000020.000mm-zm000039.100mm-shot0000.npy
