run,slice,n_dark_total,exposure_us,n_dark_used,dark_mean,dark_std
auto_scan-2026-07-29_15-56-42,y0170.00cm,12,5403.5714285714275,2.0,0.00017070770263671875,0.015522001311182976
auto_scan-2026-07-29_15-56-42,y0182.00cm,12,505.91606258840153,2.0,3.4491222322685644e-05,0.009425999596714973
auto_scan-2026-07-29_16-25-57,y0180.00cm,14,8000.0,2.0,0.0035305023193359375,0.06005605682730675
auto_scan-2026-07-29_16-25-57,y0180.50cm,8,500.0,2.0,0.02914651297032833,0.2278878092765808
auto_scan-2026-07-29_16-25-57,y0181.00cm,8,500.0,2.0,0.04630057141184807,0.33623987436294556
auto_scan-2026-07-29_16-25-57,y0181.50cm,10,500.0,2.0,5.563100057770498e-05,0.011609602719545364
auto_scan-2026-07-29_16-25-57,y0182.00cm,13,500.0,2.0,4.323323446442373e-05,0.011304445564746857
auto_scan-2026-07-29_16-25-57,y0182.50cm,13,500.0,2.0,4.100799560546875e-05,0.010845189914107323
auto_scan-2026-07-29_16-25-57,y0183.00cm,12,500.0,2.0,3.7988025724189356e-05,0.010749515146017075
auto_scan-2026-07-29_16-25-57,y0183.50cm,12,500.0,2.0,3.751118856598623e-05,0.010932784527540207
auto_scan-2026-07-29_16-25-57,y0184.00cm,12,500.0,2.0,3.7034351407783106e-05,0.01077905111014843
auto_scan-2026-07-29_16-25-57,y0184.50cm,12,500.0,2.0,3.592173379729502e-05,0.01096182782202959
auto_scan-2026-07-29_16-25-57,y0185.00cm,12,500.0,2.0,3.687540811370127e-05,0.01081585418432951
auto_scan-2026-07-29_16-25-57,y0185.50cm,12,500.0,2.0,3.814697265625e-05,0.011034081690013409
auto_scan-2026-07-29_16-25-57,y0186.00cm,13,500.0,2.0,0.00014734268188476562,0.015101833269000053
auto_scan-2026-07-29_16-25-57,y0186.50cm,10,500.0,2.0,0.03465604782104492,0.25926482677459717
auto_scan-2026-07-29_16-25-57,y0187.00cm,10,500.0,2.0,0.02087688446044922,0.16621077060699463
auto_scan-2026-07-29_16-25-57,y0187.50cm,10,500.0,2.0,0.013631979934871197,0.12130610644817352
auto_scan-2026-07-29_16-25-57,y0188.00cm,10,500.0,2.0,0.0117556257173419,0.10813165456056595
auto_scan-2026-07-29_16-25-57,y0188.50cm,10,500.0,2.0,0.014028549194335938,0.11947358399629593
auto_scan-2026-07-29_16-25-57,y0189.00cm,10,500.0,2.0,0.019670644775032997,0.15313079953193665
auto_scan-2026-07-29_16-25-57,y0189.50cm,10,500.0,2.0,0.031496841460466385,0.21818380057811737
auto_scan-2026-07-29_16-25-57,y0190.00cm,13,500.0,2.0,8.217493450501934e-05,0.01260079350322485
auto_scan-2026-07-29_16-25-57,y0190.50cm,12,429.8295454545454,2.0,3.910064697265625e-05,0.010396228171885014
auto_scan-2026-07-29_16-25-57,y0191.00cm,13,429.8295454545454,2.0,3.846486288239248e-05,0.010350262746214867
auto_scan-2026-07-29_16-25-57,y0191.50cm,13,429.8295454545454,2.0,3.7034351407783106e-05,0.010419144295156002
auto_scan-2026-07-29_16-25-57,y0192.00cm,10,353.44135993082995,2.0,3.7670135498046875e-05,0.010077941231429577
auto_scan-2026-07-29_17-14-37,y0189.00cm,12,8000.0,2.0,0.11773490905761719,0.39924508333206177
auto_scan-2026-07-29_17-14-37,y0189.50cm,10,500.0,2.0,3.4173328458564356e-05,0.009757423773407936
auto_scan-2026-07-29_17-14-37,y0190.00cm,10,500.0,2.0,4.0531158447265625e-05,0.009854652918875217
auto_scan-2026-07-29_17-14-37,y0190.50cm,10,402.39361702127655,2.0,3.210703653167002e-05,0.009601431898772717
auto_scan-2026-07-29_17-14-37,y0191.00cm,10,402.39361702127655,2.0,3.62396240234375e-05,0.009501570835709572
