day,run,frame,slice,y_cm,exposure_us,n_sat_px
jul29,auto_scan-2026-07-29_15-56-42,jul29_axicon3_009-tableyp001700.000mm-gantryxp000080.000mm-yp000130.000mm-zm000087.100mm-shot0000.npy,y0170.00cm,170.0,5403.5714285714275,0
jul29,auto_scan-2026-07-29_15-56-42,jul29_axicon3_009-tableyp001700.000mm-gantryxp000085.000mm-yp000130.000mm-zm000087.100mm-shot0000.npy,y0170.00cm,170.0,5403.5714285714275,0
jul29,auto_scan-2026-07-29_15-56-42,jul29_axicon3_009-tableyp001700.000mm-gantryxp000080.000mm-yp000130.000mm-zm000083.100mm-shot0000.npy,y0170.00cm,170.0,5403.5714285714275,0
jul29,auto_scan-2026-07-29_15-56-42,jul29_axicon3_009-tableyp001700.000mm-gantryxp000085.000mm-yp000130.000mm-zm000083.100mm-shot0000.npy,y0170.00cm,170.0,5403.5714285714275,1842
jul29,auto_scan-2026-07-29_15-56-42,jul29_axicon3_009-tableyp001705.000mm-gantryxp000085.000mm-yp000125.000mm-zm000083.100mm-shot0000.npy,y0170.50cm,170.5,337.7232142857142,0
jul29,auto_scan-2026-07-29_15-56-42,jul29_axicon3_009-tableyp001710.000mm-gantryxp000085.000mm-yp000120.000mm-zm000083.100mm-shot0000.npy,y0171.00cm,171.0,337.7232142857142,0
jul29,auto_scan-2026-07-29_15-56-42,jul29_axicon3_009-tableyp001715.000mm-gantryxp000085.000mm-yp000115.000mm-zm000083.100mm-shot0000.npy,y0171.50cm,171.5,337.7232142857142,0
jul29,auto_scan-2026-07-29_15-56-42,jul29_axicon3_009-tableyp001720.000mm-gantryxp000085.000mm-yp000110.000mm-zm000083.100mm-shot0000.npy,y0172.00cm,172.0,337.7232142857142,0
jul29,auto_scan-2026-07-29_15-56-42,jul29_axicon3_009-tableyp001725.000mm-gantryxp000085.000mm-yp000105.000mm-zm000083.100mm-shot0000.npy,y0172.50cm,172.5,337.7232142857142,0
jul29,auto_scan-2026-07-29_15-56-42,jul29_axicon3_009-tableyp001730.000mm-gantryxp000085.000mm-yp000100.000mm-zm000083.100mm-shot0000.npy,y0173.00cm,173.0,337.7232142857142,0
jul29,auto_scan-2026-07-29_15-56-42,jul29_axicon3_009-tableyp001735.000mm-gantryxp000085.000mm-yp000095.000mm-zm000083.100mm-shot0000.npy,y0173.50cm,173.5,337.7232142857142,0
jul29,auto_scan-2026-07-29_15-56-42,jul29_axicon3_009-tableyp001740.000mm-gantryxp000085.000mm-yp000090.000mm-zm000083.100mm-shot0000.npy,y0174.00cm,174.0,337.7232142857142,0
jul29,auto_scan-2026-07-29_15-56-42,jul29_axicon3_009-tableyp001745.000mm-gantryxp000085.000mm-yp000085.000mm-zm000083.100mm-shot0000.npy,y0174.50cm,174.5,337.7232142857142,0
jul29,auto_scan-2026-07-29_15-56-42,jul29_axicon3_009-tableyp001750.000mm-gantryxp000085.000mm-yp000080.000mm-zm000083.100mm-shot0000.npy,y0175.00cm,175.0,337.7232142857142,0
jul29,auto_scan-2026-07-29_15-56-42,jul29_axicon3_009-tableyp001755.000mm-gantryxp000085.000mm-yp000075.000mm-zm000083.100mm-shot0000.npy,y0175.50cm,175.5,337.7232142857142,0
jul29,auto_scan-2026-07-29_15-56-42,jul29_axicon3_009-tableyp001760.000mm-gantryxp000085.000mm-yp000070.000mm-zm000083.100mm-shot0000.npy,y0176.00cm,176.0,337.7232142857142,0
jul29,auto_scan-2026-07-29_15-56-42,jul29_axicon3_009-tableyp001765.000mm-gantryxp000085.000mm-yp000065.000mm-zm000083.100mm-shot0000.npy,y0176.50cm,176.5,337.7232142857142,0
jul29,auto_scan-2026-07-29_15-56-42,jul29_axicon3_009-tableyp001770.000mm-gantryxp000085.000mm-yp000060.000mm-zm000083.100mm-shot0000.npy,y0177.00cm,177.0,337.7232142857142,0
jul29,auto_scan-2026-07-29_15-56-42,jul29_axicon3_009-tableyp001775.000mm-gantryxp000085.000mm-yp000055.000mm-zm000083.100mm-shot0000.npy,y0177.50cm,177.5,337.7232142857142,0
jul29,auto_scan-2026-07-29_15-56-42,jul29_axicon3_009-tableyp001780.000mm-gantryxp000085.000mm-yp000050.000mm-zm000083.100mm-shot0000.npy,y0178.00cm,178.0,337.7232142857142,0
jul29,auto_scan-2026-07-29_15-56-42,jul29_axicon3_009-tableyp001785.000mm-gantryxp000085.000mm-yp000045.000mm-zm000083.100mm-shot0000.npy,y0178.50cm,178.5,337.7232142857142,0
jul29,auto_scan-2026-07-29_15-56-42,jul29_axicon3_009-tableyp001790.000mm-gantryxp000085.000mm-yp000040.000mm-zm000083.100mm-shot0000.npy,y0179.00cm,179.0,337.7232142857142,0
jul29,auto_scan-2026-07-29_15-56-42,jul29_axicon3_009-tableyp001795.000mm-gantryxp000085.000mm-yp000035.000mm-zm000083.100mm-shot0000.npy,y0179.50cm,179.5,337.7232142857142,0
jul29,auto_scan-2026-07-29_15-56-42,jul29_axicon3_009-tableyp001800.000mm-gantryxp000085.000mm-yp000030.000mm-zm000083.100mm-shot0000.npy,y0180.00cm,180.0,337.7232142857142,0
jul29,auto_scan-2026-07-29_15-56-42,jul29_axicon3_009-tableyp001805.000mm-gantryxp000085.000mm-yp000025.000mm-zm000083.100mm-shot0000.npy,y0180.50cm,180.5,337.7232142857142,0
jul29,auto_scan-2026-07-29_15-56-42,jul29_axicon3_009-tableyp001810.000mm-gantryxp000085.000mm-yp000020.000mm-zm000083.100mm-shot0000.npy,y0181.00cm,181.0,337.7232142857142,0
jul29,auto_scan-2026-07-29_15-56-42,jul29_axicon3_009-tableyp001815.000mm-gantryxp000085.000mm-yp000015.000mm-zm000083.100mm-shot0000.npy,y0181.50cm,181.5,337.7232142857142,0
jul29,auto_scan-2026-07-29_15-56-42,jul29_axicon3_009-tableyp001820.000mm-gantryxp000085.000mm-yp000010.000mm-zm000083.100mm-shot0000.npy,y0182.00cm,182.0,505.91606258840153,0
jul29,auto_scan-2026-07-29_15-56-42,jul29_axicon3_009-tableyp001820.000mm-gantryxp000090.000mm-yp000010.000mm-zm000083.100mm-shot0000.npy,y0182.00cm,182.0,505.91606258840153,0
jul29,auto_scan-2026-07-29_15-56-42,jul29_axicon3_009-tableyp001820.000mm-gantryxp000085.000mm-yp000010.000mm-zm000087.100mm-shot0000.npy,y0182.00cm,182.0,505.91606258840153,0
jul29,auto_scan-2026-07-29_15-56-42,jul29_axicon3_009-tableyp001820.000mm-gantryxp000090.000mm-yp000010.000mm-zm000087.100mm-shot0000.npy,y0182.00cm,182.0,505.91606258840153,0
aug3,auto_scan-2026-08-03_15-06-23,aug3_axicon3_009-tableyp001700.000mm-gantryxp000085.000mm-yp000130.000mm-zm000087.100mm-shot0000.npy,y0170.00cm,170.0,250.0,0
aug3,auto_scan-2026-08-03_15-06-23,aug3_axicon3_009-tableyp001700.000mm-gantryxp000090.000mm-yp000130.000mm-zm000087.100mm-shot0000.npy,y0170.00cm,170.0,250.0,0
