candidate,run_a,run_b,gap_min,n_bins,z_lo_cm,z_hi_cm,med_rate_ratio,rate_rms_pct,med_dk_pct,dk_rms_pct
1,07-23_17-42-56,07-23_18-36-22,53,3,138.5,140.5,1.013554018533618,2.7897244484145665,-0.10648921253752668,0.7840347824096007
1,07-23_18-47-16,07-23_18-52-11,5,7,144.0,150.0,0.9535071546429792,5.396574103618855,-0.012943368548341947,0.2789416177096862
1,07-23_18-47-16,07-23_19-07-33,20,3,148.0,150.0,0.9691353883350962,4.024052141642654,0.24811767641789276,0.188756109124391
1,07-23_18-52-11,07-23_19-07-33,15,3,148.0,150.0,1.0233017397541222,5.105820827336765,0.19967937159473334,0.030806101213884055
1,07-23_19-07-33,07-23_19-17-02,9,3,155.5,159.5,0.951306731090868,5.165401174023196,0.3739964266465819,0.510877746121803
2,07-29_12-37-22,07-29_13-17-16,40,5,100.0,102.0,1.0430909022671642,2.3748284852664585,-0.074599455551369,0.22022887388048684
2,07-29_13-17-16,07-29_13-36-52,20,5,110.0,112.0,1.041226461500354,3.0797232249363233,-0.010786869566251585,0.07654951038949954
2,07-29_13-36-52,07-29_14-01-15,24,2,120.5,121.0,0.971728478003013,1.1662310158901126,-0.023747817439213205,0.05137296137644231
2,07-29_13-36-52,07-29_14-07-31,31,3,120.0,121.0,0.9654537449689264,1.2065796699037168,-0.025791905044070605,0.06315532210962735
2,07-29_14-01-15,07-29_14-07-31,6,4,120.5,122.0,0.9624492383689254,2.498815019094546,-0.023017286690938353,0.08933154249279315
2,07-29_14-07-31,07-29_14-33-49,26,5,130.0,132.0,0.967426477417076,2.8420479767583813,-0.00775031894337526,0.14936978871624879
2,07-29_14-33-49,07-29_14-54-27,21,5,140.0,142.0,0.9745742514866751,1.992130378049254,-0.21985718067370894,0.19512470841332893
2,07-29_14-54-27,07-29_15-07-43,13,5,150.0,152.0,0.9850854732310876,3.3731319042829546,-0.21779316241523158,0.09992171164920563
2,07-29_15-07-43,07-29_15-20-31,13,2,156.5,157.0,0.9819974226378152,0.30037059793388937,-0.12625526779675908,0.1862560461171784
2,07-29_15-20-31,07-29_15-47-48,27,3,161.0,162.0,0.9731852180414639,4.035898497058384,0.08975366959755361,0.0642961443402155
2,07-29_15-47-48,07-29_15-56-42,9,4,170.5,172.0,0.9987632959434927,1.2167245826629363,0.1359600182871853,0.115436123233197
2,07-29_15-56-42,07-29_16-25-57,29,4,180.5,182.0,0.9238972449736582,2.695299102729324,-0.3965578309870855,0.10893236570420244
2,07-29_16-25-57,07-29_17-14-37,49,6,189.5,192.0,1.0194936175733962,2.4480723786944125,-0.2959737743954231,0.07770483068308652
2,07-30_10-28-52,07-30_10-57-31,29,3,81.0,82.0,1.08390535609917,0.30036730472056833,0.2066854598475122,0.1552583241486402
2,07-30_10-57-31,07-30_11-33-11,36,2,70.0,70.5,0.9498318397597232,2.5171050047521795,0.8506642207172032,0.8292695144515535
2,07-30_11-19-30,07-30_11-33-11,14,2,69.0,69.5,0.954692115322525,0.06598614177777198,-1.319852035580365,0.15569049042920402
3,08-06_09-33-56,08-06_09-50-11,16,1,92.0,92.0,0.76169014364611,0.0,-3.899801342339848,0.0
3,08-06_09-50-11,08-06_10-16-44,27,2,100.0,102.0,1.2969549559998421,0.0,1.0185690314120608,0.0
3,08-06_10-52-08,08-06_13-33-08,161,3,120.0,122.0,0.9594610961336836,3.3128125737688356,-0.14717659910733238,0.19337225810576872
3,08-06_10-59-06,08-06_11-19-48,21,11,130.0,142.0,1.8627698455407709,56.869939115550274,1.8784092164879145,2.4808020184385486
3,08-06_10-59-06,08-06_11-28-06,29,1,142.0,142.0,0.526182525472284,0.0,-2.792913440765107,0.0
3,08-06_10-59-06,08-06_13-33-08,154,3,130.0,132.0,2.6770641133219413,2.9194854738837046,3.605287740427432,0.1683053503647406
3,08-06_11-19-48,08-06_11-28-06,8,1,142.0,142.0,1.035869085089706,0.0,-0.02988567385930292,0.0
3,08-06_11-19-48,08-06_13-33-08,133,3,130.0,132.0,1.042340424618545,2.697819562400269,-0.14355207416457086,0.1784229267272497
3,08-06_11-28-06,08-06_11-42-44,15,3,150.0,152.0,0.9161249978511282,1.2884715785614902,-0.1555099088952459,0.10895627653797349
3,08-06_11-42-44,08-06_11-58-30,16,3,160.0,162.0,1.1035408527995316,1.6475796934847038,0.12440489521854489,0.5098519021921062
4,08-06_18-38-37,08-06_20-51-45,133,13,5.0,17.0,1.5097645644349302,9.009653254159513,-1.4900610234662746,6.374057175186563
4,08-06_21-06-22,08-06_21-55-58,50,1,56.0,56.0,0.9223106340683243,0.0,-0.8530349910453782,0.0
4,08-06_21-22-50,08-06_21-55-58,33,2,65.0,66.0,0.9379420437448953,2.5613240979113217,0.15348259451649504,0.44474095034832095
