beam_y_cm,run,slice,frame,gantry_x_mm,gantry_z_mm,max_counts,exposure_us,rate_c_per_us,ratio_to_slice_best,n_sat_px,excluded_run
5.0,auto_scan-2026-08-06_18-38-37,y0005.00cm,aug6_telescope_001-tableyp000050.000mm-gantryxp000060.000mm-yp000130.000mm-zm000108.100mm-shot0000.npy,60.0,-108.1,105,2750.9,0.0382,0.705,0,False
5.0,auto_scan-2026-08-06_18-38-37,y0005.00cm,aug6_telescope_001-tableyp000050.000mm-gantryxp000060.000mm-yp000130.000mm-zm000112.100mm-shot0000.npy,60.0,-112.1,149,2750.9,0.0542,1.0,0,False
5.0,auto_scan-2026-08-06_18-38-37,y0005.00cm,aug6_telescope_001-tableyp000050.000mm-gantryxp000065.000mm-yp000130.000mm-zm000108.100mm-shot0000.npy,65.0,-108.1,112,2750.9,0.0407,0.752,0,False
5.0,auto_scan-2026-08-06_18-38-37,y0005.00cm,aug6_telescope_001-tableyp000050.000mm-gantryxp000065.000mm-yp000130.000mm-zm000112.100mm-shot0000.npy,65.0,-112.1,133,2750.9,0.0483,0.893,0,False
5.0,auto_scan-2026-08-06_20-51-45,y0005.00cm,aug6_telescope_001-tableyp000050.000mm-gantryxp000060.000mm-yp000130.000mm-zm000102.100mm-shot0000.npy,60.0,-102.1,152,2364.1,0.0643,0.993,0,False
5.0,auto_scan-2026-08-06_20-51-45,y0005.00cm,aug6_telescope_001-tableyp000050.000mm-gantryxp000065.000mm-yp000130.000mm-zm000102.100mm-shot0000.npy,65.0,-102.1,153,2364.1,0.0647,1.0,0,False
6.0,auto_scan-2026-08-06_18-38-37,y0006.00cm,aug6_telescope_001-tableyp000060.000mm-gantryxp000060.000mm-yp000120.000mm-zm000108.100mm-shot0000.npy,60.0,-108.1,112,2750.9,0.0407,0.713,0,False
6.0,auto_scan-2026-08-06_18-38-37,y0006.00cm,aug6_telescope_001-tableyp000060.000mm-gantryxp000060.000mm-yp000120.000mm-zm000112.100mm-shot0000.npy,60.0,-112.1,148,2750.9,0.0538,0.943,0,False
6.0,auto_scan-2026-08-06_18-38-37,y0006.00cm,aug6_telescope_001-tableyp000060.000mm-gantryxp000065.000mm-yp000120.000mm-zm000108.100mm-shot0000.npy,65.0,-108.1,120,2750.9,0.0436,0.764,0,False
6.0,auto_scan-2026-08-06_18-38-37,y0006.00cm,aug6_telescope_001-tableyp000060.000mm-gantryxp000065.000mm-yp000120.000mm-zm000112.100mm-shot0000.npy,65.0,-112.1,157,2750.9,0.0571,1.0,0,False
6.0,auto_scan-2026-08-06_20-51-45,y0006.00cm,aug6_telescope_001-tableyp000060.000mm-gantryxp000060.000mm-yp000120.000mm-zm000102.100mm-shot0000.npy,60.0,-102.1,177,2364.1,0.0749,1.0,0,False
6.0,auto_scan-2026-08-06_20-51-45,y0006.00cm,aug6_telescope_001-tableyp000060.000mm-gantryxp000065.000mm-yp000120.000mm-zm000102.100mm-shot0000.npy,65.0,-102.1,166,2364.1,0.0702,0.938,0,False
7.0,auto_scan-2026-08-06_18-38-37,y0007.00cm,aug6_telescope_001-tableyp000070.000mm-gantryxp000060.000mm-yp000110.000mm-zm000108.100mm-shot0000.npy,60.0,-108.1,147,2750.9,0.0534,0.967,0,False
7.0,auto_scan-2026-08-06_18-38-37,y0007.00cm,aug6_telescope_001-tableyp000070.000mm-gantryxp000060.000mm-yp000110.000mm-zm000112.100mm-shot0000.npy,60.0,-112.1,140,2750.9,0.0509,0.921,0,False
7.0,auto_scan-2026-08-06_18-38-37,y0007.00cm,aug6_telescope_001-tableyp000070.000mm-gantryxp000065.000mm-yp000110.000mm-zm000108.100mm-shot0000.npy,65.0,-108.1,120,2750.9,0.0436,0.789,0,False
7.0,auto_scan-2026-08-06_18-38-37,y0007.00cm,aug6_telescope_001-tableyp000070.000mm-gantryxp000065.000mm-yp000110.000mm-zm000112.100mm-shot0000.npy,65.0,-112.1,152,2750.9,0.0553,1.0,0,False
7.0,auto_scan-2026-08-06_20-51-45,y0007.00cm,aug6_telescope_001-tableyp000070.000mm-gantryxp000060.000mm-yp000110.000mm-zm000102.100mm-shot0000.npy,60.0,-102.1,150,2032.3,0.0738,1.0,0,False
8.0,auto_scan-2026-08-06_18-38-37,y0008.00cm,aug6_telescope_001-tableyp000080.000mm-gantryxp000060.000mm-yp000100.000mm-zm000108.100mm-shot0000.npy,60.0,-108.1,156,2750.9,0.0567,0.975,0,False
8.0,auto_scan-2026-08-06_18-38-37,y0008.00cm,aug6_telescope_001-tableyp000080.000mm-gantryxp000060.000mm-yp000100.000mm-zm000112.100mm-shot0000.npy,60.0,-112.1,153,2750.9,0.0556,0.956,0,False
8.0,auto_scan-2026-08-06_18-38-37,y0008.00cm,aug6_telescope_001-tableyp000080.000mm-gantryxp000065.000mm-yp000100.000mm-zm000108.100mm-shot0000.npy,65.0,-108.1,149,2750.9,0.0542,0.931,0,False
8.0,auto_scan-2026-08-06_18-38-37,y0008.00cm,aug6_telescope_001-tableyp000080.000mm-gantryxp000065.000mm-yp000100.000mm-zm000112.100mm-shot0000.npy,65.0,-112.1,160,2750.9,0.0582,1.0,0,False
8.0,auto_scan-2026-08-06_20-51-45,y0008.00cm,aug6_telescope_001-tableyp000080.000mm-gantryxp000060.000mm-yp000100.000mm-zm000102.100mm-shot0000.npy,60.0,-102.1,166,2032.3,0.0817,1.0,0,False
9.0,auto_scan-2026-08-06_18-38-37,y0009.00cm,aug6_telescope_001-tableyp000090.000mm-gantryxp000060.000mm-yp000090.000mm-zm000108.100mm-shot0000.npy,60.0,-108.1,157,2750.9,0.0571,0.957,0,False
9.0,auto_scan-2026-08-06_18-38-37,y0009.00cm,aug6_telescope_001-tableyp000090.000mm-gantryxp000060.000mm-yp000090.000mm-zm000112.100mm-shot0000.npy,60.0,-112.1,152,2750.9,0.0553,0.927,0,False
9.0,auto_scan-2026-08-06_18-38-37,y0009.00cm,aug6_telescope_001-tableyp000090.000mm-gantryxp000065.000mm-yp000090.000mm-zm000108.100mm-shot0000.npy,65.0,-108.1,140,2750.9,0.0509,0.854,0,False
9.0,auto_scan-2026-08-06_18-38-37,y0009.00cm,aug6_telescope_001-tableyp000090.000mm-gantryxp000065.000mm-yp000090.000mm-zm000112.100mm-shot0000.npy,65.0,-112.1,164,2750.9,0.0596,1.0,0,False
9.0,auto_scan-2026-08-06_20-51-45,y0009.00cm,aug6_telescope_001-tableyp000090.000mm-gantryxp000060.000mm-yp000090.000mm-zm000102.100mm-shot0000.npy,60.0,-102.1,176,2032.3,0.0866,1.0,0,False
10.0,auto_scan-2026-08-06_18-38-37,y0010.00cm,aug6_telescope_001-tableyp000100.000mm-gantryxp000060.000mm-yp000080.000mm-zm000108.100mm-shot0000.npy,60.0,-108.1,146,2601.3,0.0561,0.948,0,False
10.0,auto_scan-2026-08-06_18-38-37,y0010.00cm,aug6_telescope_001-tableyp000100.000mm-gantryxp000060.000mm-yp000080.000mm-zm000112.100mm-shot0000.npy,60.0,-112.1,143,2601.3,0.055,0.929,0,False
10.0,auto_scan-2026-08-06_18-38-37,y0010.00cm,aug6_telescope_001-tableyp000100.000mm-gantryxp000065.000mm-yp000080.000mm-zm000108.100mm-shot0000.npy,65.0,-108.1,154,2601.3,0.0592,1.0,0,False
